filepath,relpath,dataset,split
data\processed\augmented\000\frame_0012_face_0_aug_2.jpg,000\frame_0012_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0011_face_0_aug_0.jpg,000\frame_0011_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0000_face_0_aug_2.jpg,000\frame_0000_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0015_face_0_aug_0.jpg,000\frame_0015_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0009_face_0_aug_2.jpg,000\frame_0009_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0007_face_0_aug_1.jpg,000\frame_0007_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0006_face_0_aug_2.jpg,000\frame_0006_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0005_face_0_aug_2.jpg,000\frame_0005_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0010_face_0_aug_1.jpg,000\frame_0010_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0007_face_0_aug_0.jpg,000\frame_0007_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0001_face_0_aug_1.jpg,000\frame_0001_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0015_face_0_aug_2.jpg,000\frame_0015_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0013_face_0_aug_0.jpg,000\frame_0013_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0003_face_0_aug_0.jpg,000\frame_0003_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0008_face_0_aug_1.jpg,000\frame_0008_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0013_face_0_aug_2.jpg,000\frame_0013_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0011_face_0_aug_1.jpg,000\frame_0011_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0002_face_0_aug_2.jpg,000\frame_0002_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0003_face_0_aug_1.jpg,000\frame_0003_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0014_face_0_aug_0.jpg,000\frame_0014_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0001_face_0_aug_0.jpg,000\frame_0001_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0002_face_0_aug_1.jpg,000\frame_0002_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0014_face_0_aug_2.jpg,000\frame_0014_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0006_face_0_aug_0.jpg,000\frame_0006_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0005_face_0_aug_0.jpg,000\frame_0005_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0000_face_0_aug_1.jpg,000\frame_0000_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0010_face_0_aug_0.jpg,000\frame_0010_face_0_aug_0.jpg,000,train
data\processed\augmented\000\frame_0003_face_0_aug_2.jpg,000\frame_0003_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0004_face_0_aug_1.jpg,000\frame_0004_face_0_aug_1.jpg,000,train
data\processed\augmented\000\frame_0010_face_0_aug_2.jpg,000\frame_0010_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0007_face_0_aug_2.jpg,000\frame_0007_face_0_aug_2.jpg,000,train
data\processed\augmented\000\frame_0009_face_0_aug_1.jpg,000\frame_0009_face_0_aug_1.jpg,000,train
data\processed\augmented\001\frame_0016_face_0_aug_2.jpg,001\frame_0016_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0001_face_0_aug_1.jpg,001\frame_0001_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0014_face_0_aug_1.jpg,001\frame_0014_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0005_face_0_aug_2.jpg,001\frame_0005_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0006_face_0_aug_0.jpg,001\frame_0006_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0013_face_0_aug_0.jpg,001\frame_0013_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0012_face_0_aug_1.jpg,001\frame_0012_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0005_face_0_aug_1.jpg,001\frame_0005_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0009_face_0_aug_1.jpg,001\frame_0009_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0005_face_0_aug_0.jpg,001\frame_0005_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0013_face_0_aug_1.jpg,001\frame_0013_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0003_face_0_aug_0.jpg,001\frame_0003_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0000_face_0_aug_1.jpg,001\frame_0000_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0014_face_0_aug_2.jpg,001\frame_0014_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0017_face_0_aug_0.jpg,001\frame_0017_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0004_face_0_aug_0.jpg,001\frame_0004_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0000_face_0_aug_2.jpg,001\frame_0000_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0007_face_0_aug_0.jpg,001\frame_0007_face_0_aug_0.jpg,001,train
